file,directory,document_index,rule_index,rule_id,logical_group,logical_class,operators,B1_no_metavariable,B2_metavariable_binding,B3_repeated_metavariable,B3_5_redundant_metavariable,B4_metavariable_regex,B5_metavariable_pattern,B6_metavariable_comparison_or_type,metavars,repeated_metavars,binding_scopes_json,pattern_count,has_no_metavar,has_plain_metavar,has_unnamed_ellipsis,has_ellipsis_metavar,has_deep_expression,has_no_pattern_fields,shape_groups,shape_labels
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__incorrect-use-of-strncat.yaml,.,0,0,raptor-incorrect-use-of-strncat,A5,Containment (inclusive),"author,confidence,id,languages,message,metadata,pattern,pattern-either,pattern-inside,patterns,references,severity",False,True,True,False,False,False,False,"$DST,$EXPR,$LEN,$SRC,$TYPE","$DST,$LEN","[{""$DST"": 2, ""$LEN"": 2, ""$SRC"": 1, ""$TYPE"": 1}, {""$DST"": 2, ""$EXPR"": 1, ""$LEN"": 2, ""$SRC"": 1, ""$TYPE"": 1}, {""$DST"": 2, ""$SRC"": 1}, {""$DST"": 2, ""$SRC"": 1}, {""$DST"": 3, ""$SRC"": 1}]",6,False,True,True,False,False,False,"C2,C3","plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__incorrect-use-of-strncpy-stpncpy-strlcpy.yaml,.,0,0,raptor-incorrect-use-of-strncpy-stpncpy-strlcpy,A5,Containment (inclusive),"author,confidence,id,languages,message,metadata,metavariable,metavariable-pattern,pattern,pattern-either,pattern-inside,patterns,references,severity",False,True,True,False,False,True,False,"$DST,$EXPR,$FUN,$LEN,$SRC,$TYPE","$FUN,$LEN,$SRC","[{""$DST"": 1, ""$FUN"": 2, ""$LEN"": 2, ""$SRC"": 2, ""$TYPE"": 1}, {""$DST"": 1, ""$EXPR"": 1, ""$FUN"": 2, ""$LEN"": 2, ""$SRC"": 2, ""$TYPE"": 1}, {""$DST"": 1, ""$FUN"": 2, ""$LEN"": 2, ""$SRC"": 2, ""$TYPE"": 1}, {""$DST"": 1, ""$EXPR"": 1, ""$FUN"": 2, ""$LEN"": 2, ""$SRC"": 2, ""$TYPE"": 1}, {""$DST"": 1, ""$FUN"": 2, ""$LEN"": 2, ""$SRC"": 2, ""$TYPE"": 1}, {""$DST"": 1, ""$EXPR"": 1, ""$FUN"": 2, ""$LEN"": 2, ""$SRC"": 2, ""$TYPE"": 1}, {""$DST"": 1, ""$FUN"": 2, ""$LEN"": 2, ""$SRC"": 2, ""$TYPE"": 1}, {""$DST"": 1, ""$EXPR"": 1, ""$FUN"": 2, ""$LEN"": 2, ""$SRC"": 2, ""$TYPE"": 1}, {""$DST"": 1, ""$FUN"": 2, ""$SRC"": 2}, {""$DST"": 1, ""$FUN"": 2, ""$SRC"": 2}, {""$DST"": 1, ""$FUN"": 2, ""$SRC"": 2}, {""$DST"": 1, ""$FUN"": 2, ""$SRC"": 2}]",12,True,True,True,False,True,False,"C1,C2,C3,C5","deep_expression,no_metavar,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__insecure-api-access-stat-lstat.yaml,.,0,0,raptor-insecure-api-access-stat-lstat,A2,Single or multiple positive pattern(s),"author,confidence,id,languages,message,metadata,pattern,pattern-either,references,severity",True,False,False,False,False,False,False,,,[],3,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__insecure-api-alloca.yaml,.,0,0,raptor-insecure-api-alloca,A2,Single or multiple positive pattern(s),"author,confidence,id,languages,message,metadata,pattern,references,severity",True,False,False,False,False,False,False,,,[],1,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__insecure-api-atoi-atol-atof.yaml,.,0,0,raptor-insecure-api-atoi-atol-atof,A2,Single or multiple positive pattern(s),"author,confidence,id,languages,message,metadata,pattern,pattern-either,references,severity",True,False,False,False,False,False,False,,,[],4,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__insecure-api-gets.yaml,.,0,0,raptor-insecure-api-gets,A2,Single or multiple positive pattern(s),"author,confidence,id,languages,message,metadata,pattern,references,severity",True,False,False,False,False,False,False,,,[],1,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__insecure-api-mktemp-tmpnam-tempnam.yaml,.,0,0,raptor-insecure-api-mktemp-tmpnam-tempnam,A2,Single or multiple positive pattern(s),"author,confidence,id,languages,message,metadata,pattern,pattern-either,references,severity",True,False,False,False,False,False,False,,,[],3,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__insecure-api-rand-srand.yaml,.,0,0,raptor-insecure-api-rand-srand,A2,Single or multiple positive pattern(s),"author,confidence,id,languages,message,metadata,pattern,pattern-either,references,severity",True,False,False,False,False,False,False,,,[],2,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__insecure-api-scanf-etc.yaml,.,0,0,raptor-insecure-api-scanf-etc,A3,Conjunction / Intersection,"author,confidence,id,languages,message,metadata,metavariable,metavariable-regex,pattern,pattern-either,patterns,references,regex,severity",False,True,True,True,True,False,False,"$BUF,$FMT,$FS",$FMT,"[{""$FMT"": 2}, {""$FMT"": 2}, {""$FMT"": 2, ""$FS"": 1}, {""$FMT"": 2, ""$FS"": 1}, {""$BUF"": 1, ""$FMT"": 2}, {""$BUF"": 1, ""$FMT"": 2}, {""$FMT"": 2}, {""$FMT"": 2}, {""$FMT"": 2, ""$FS"": 1}, {""$FMT"": 2, ""$FS"": 1}, {""$BUF"": 1, ""$FMT"": 2}, {""$BUF"": 1, ""$FMT"": 2}]",12,False,True,True,False,False,False,"C2,C3","B3.5_redundant_metavariable,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__insecure-api-signal.yaml,.,0,0,raptor-insecure-api-signal,A2,Single or multiple positive pattern(s),"author,confidence,id,languages,message,metadata,pattern,references,severity",True,False,False,False,False,False,False,,,[],1,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__insecure-api-sprintf-vsprintf.yaml,.,0,0,raptor-insecure-api-sprintf-vsprintf,A3,Conjunction / Intersection,"author,confidence,id,languages,message,metadata,metavariable,metavariable-regex,pattern,pattern-either,patterns,references,regex,severity",False,True,True,True,True,False,False,"$BUF,$FMT",$FMT,"[{""$BUF"": 1, ""$FMT"": 2}, {""$BUF"": 1, ""$FMT"": 2}]",2,False,True,True,False,False,False,"C2,C3","B3.5_redundant_metavariable,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__insecure-api-strcpy-stpcpy-strcat.yaml,.,0,0,raptor-insecure-api-strcpy-stpcpy-strcat,A4,Negation / Filtering,"author,confidence,id,languages,message,metadata,pattern,pattern-either,pattern-not,patterns,references,severity",False,True,False,False,False,False,False,"$BUF,$FUN",,"[{""$BUF"": 1, ""$FUN"": 1}, {""$BUF"": 1, ""$FUN"": 1}, {""$BUF"": 1, ""$FUN"": 1}, {""$BUF"": 1, ""$FUN"": 1}, {""$BUF"": 1, ""$FUN"": 1}, {""$BUF"": 1, ""$FUN"": 1}]",7,True,True,True,False,False,False,"C1,C2,C3","no_metavar,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__integer-truncation.yaml,.,0,0,raptor-integer-truncation,A3,Conjunction / Intersection,"author,confidence,focus-metavariable,id,languages,message,metadata,pattern,pattern-either,patterns,references,severity",False,True,True,False,False,False,False,"$FUN,$LARGE,$NARROW",$FUN,"[{""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$FUN"": 2, ""$LARGE"": 1}, {""$FUN"": 2, ""$LARGE"": 1}, {""$FUN"": 2, ""$LARGE"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$FUN"": 2, ""$LARGE"": 1}, {""$FUN"": 2, ""$LARGE"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$FUN"": 2, ""$LARGE"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}, {""$LARGE"": 1, ""$NARROW"": 1}]",41,False,True,True,False,True,False,"C2,C3,C5","deep_expression,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__integer-wraparound.yaml,.,0,0,raptor-integer-wraparound,A5,Containment (inclusive),"author,confidence,id,languages,message,metadata,metavariable,metavariable-pattern,pattern,pattern-either,pattern-inside,patterns,references,severity",False,True,True,False,False,True,False,"$ARG1,$FUN,$MAX,$N,$X,$Y","$FUN,$MAX,$N,$X","[{""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$ARG1"": 1, ""$FUN"": 2, ""$N"": 2, ""$X"": 1, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}, {""$MAX"": 2, ""$X"": 2, ""$Y"": 1}]",52,True,True,True,False,False,False,"C1,C2,C3","no_metavar,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__interesting-api-calls.yaml,.,0,0,raptor-interesting-api-calls,A3,Conjunction / Intersection,"author,confidence,id,languages,message,metadata,metavariable,metavariable-regex,pattern,pattern-either,patterns,references,regex,severity",False,True,True,False,True,False,False,$FUN,$FUN,"[{""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}, {""$FUN"": 2}]",18,False,True,True,False,False,False,"C2,C3","plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__memory-address-exposure.yaml,.,0,0,raptor-memory-address-exposure,A3,Conjunction / Intersection,"author,confidence,id,languages,message,metadata,metavariable,metavariable-regex,pattern,pattern-either,patterns,references,regex,severity",False,True,True,True,True,False,False,"$ARG1,$ARG2,$FMT",$FMT,"[{""$FMT"": 2}, {""$FMT"": 2}, {""$FMT"": 2}, {""$FMT"": 2}, {""$FMT"": 2}, {""$FMT"": 2}, {""$FMT"": 2}, {""$FMT"": 2}, {""$ARG1"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$ARG2"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$ARG2"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$ARG2"": 1, ""$FMT"": 2}, {""$ARG1"": 1, ""$ARG2"": 1, ""$FMT"": 2}]",23,False,True,True,False,False,False,"C2,C3","B3.5_redundant_metavariable,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__mismatched-memory-management.yaml,.,0,0,raptor-mismatched-memory-management,A6,Containment (exclusive),"author,confidence,id,languages,message,metadata,pattern,pattern-either,pattern-not-inside,patterns,references,severity",False,True,True,False,False,False,False,"$CAST,$PTR","$CAST,$PTR","[{""$CAST"": 3, ""$PTR"": 17}]",9,False,True,True,False,False,False,"C2,C3","plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__missing-break-in-switch.yaml,.,0,0,raptor-missing-break-in-switch,A4,Negation / Filtering,"author,confidence,focus-metavariable,id,languages,message,metadata,pattern,pattern-not,patterns,references,severity",False,True,True,True,False,False,False,"$LOC,$RET,$VAL1,$VAL2,$VAR","$LOC,$RET,$VAL1,$VAL2,$VAR","[{""$LOC"": 2, ""$RET"": 4, ""$VAL1"": 11, ""$VAL2"": 11, ""$VAR"": 12}]",11,False,True,True,False,False,False,"C2,C3","B3.5_redundant_metavariable,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__missing-default-in-switch.yaml,.,0,0,raptor-missing-default-in-switch,A4,Negation / Filtering,"author,confidence,focus-metavariable,id,languages,message,metadata,pattern,pattern-not,patterns,references,severity",False,True,True,True,False,False,False,$VAR,$VAR,"[{""$VAR"": 3}]",2,False,True,True,False,False,False,"C2,C3","B3.5_redundant_metavariable,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__missing-return.yaml,.,0,0,raptor-missing-return,A4,Negation / Filtering,"author,confidence,focus-metavariable,id,languages,message,metadata,pattern,pattern-not,patterns,references,severity",False,True,True,True,False,False,False,"$ARG,$FUN,$RET,$TYPE","$FUN,$TYPE","[{""$ARG"": 1, ""$FUN"": 5, ""$RET"": 1, ""$TYPE"": 3}]",5,True,True,True,False,False,False,"C1,C2,C3","B3.5_redundant_metavariable,no_metavar,plain_metavar,unnamed_ellipsis"
